PHX	3	1	13.50	110.9	100.2	+10.7	98.3	.534	11.7	20.0	.161	.498	14.6	81.8	.219
CHA	2	2	10.21	107.7	104.8	+2.9	103.3	.537	14.3	23.4	.152	.528	15.4	78.0	.203
BKN	3	2	10.02	115.4	105.7	+9.7	103.2	.562	13.8	22.0	.227	.478	12.7	70.2	.182
DAL	1	3	9.75	111.5	110.2	+1.3	98.7	.520	9.9	18.3	.246	.553	16.6	75.9	.212
LAL	3	2	8.74	117.9	106.5	+11.4	102.1	.600	15.0	21.8	.197	.514	11.3	80.8	.159
CLE	3	1	8.48	106.8	99.5	+7.3	100.8	.536	14.6	22.7	.170	.523	18.6	78.6	.173
IND	3	1	8.43	113.2	106.1	+7.1	102.7	.568	13.2	19.5	.159	.525	15.1	79.7	.251
MIL	2	3	8.31	120.2	109.8	+10.4	103.3	.578	12.7	28.0	.168	.538	13.6	81.7	.195
BOS	3	2	5.19	113.1	113.9	-0.8	100.1	.543	12.4	25.7	.174	.565	15.1	76.6	.193
NYK	2	2	5.18	105.9	107.2	-1.3	99.4	.530	16.7	23.4	.208	.484	10.7	73.1	.200
SAC	3	1	4.54	111.2	111.4	-0.2	99.7	.521	12.7	26.4	.229	.539	12.1	79.8	.151
ATL	3	1	3.76	124.1	115.9	+8.2	103.7	.573	13.3	26.4	.326	.520	9.4	78.1	.233
ORL	4	0	3.31	115.1	107.0	+8.1	104.5	.534	11.4	23.9	.253	.546	14.8	79.2	.144
LAC	4	1	1.56	114.1	111.0	+3.1	98.5	.565	14.1	20.6	.190	.523	13.3	78.5	.275
OKC	1	2	0.60	105.6	108.9	-3.3	102.5	.540	15.8	20.2	.165	.529	11.9	77.2	.160
PHI	3	1	0.47	102.2	99.9	+2.3	101.8	.493	15.8	22.3	.246	.500	15.8	79.1	.166
UTH	2	1	-1.72	112.7	107.4	+5.3	100.9	.522	13.4	29.8	.201	.509	9.8	82.8	.147
SAS	2	2	-3.85	109.3	109.3	0.0	103.4	.527	11.6	17.5	.164	.537	10.6	81.5	.158
DEN	1	3	-3.91	114.5	117.4	-2.9	99.8	.565	14.0	23.6	.222	.566	13.6	74.9	.219
MIA	2	2	-3.98	106.0	113.1	-7.1	102.3	.569	18.8	16.0	.223	.546	14.3	73.9	.194
MEM	1	3	-5.22	106.3	114.7	-8.4	104.1	.499	12.8	22.7	.201	.540	12.4	76.8	.227
NOP	2	2	-6.85	99.8	105.1	-5.3	99.0	.500	16.2	22.7	.201	.537	15.1	84.2	.160
WSH	0	4	-8.68	105.5	112.8	-7.3	105.9	.529	14.5	18.4	.180	.524	12.0	79.6	.302
POR	2	2	-9.68	109.2	117.2	-8.0	100.0	.521	10.9	16.2	.196	.565	11.6	78.5	.196
CHI	1	3	-10.84	104.5	111.9	-7.4	108.4	.513	15.7	18.2	.265	.553	15.0	79.5	.238
TOR 0	3	-12.08	96.9	105.1	-8.2	105.3	.498	15.3	18.2	.116	.536	17.6	76.5	.186
MIN	2	2	-12.09	102.0	112.8	-10.8	102.7	.471	11.5	25.1	.157	.552	14.2	76.4	.164
DET	0	4	-12.93	105.3	114.1	-8.8	100.6	.493	12.8	24.6	.184	.559	13.6	82.3	.281
HOU	0	2	-14.30	111.2	118.3	-7.1	101.3	.564	14.0	16.7	.243	.579	12.3	74.7	.175
GSW	2	2	-14.86	101.6	114.0	-12.4	109.0	.468	12.3	18.0	.235	.565	15.7	74.0	.250
